id,content,type,replyTo,parent,author,revision,talk_page,timestamp
708203907.10076.10076,"==Remove disputed paragraph==
Please remove the disputed paragraph that was added [EXTERNAL_LINK: here] while the discussion of whether or not to include contentious material continues above. In its current form, it does not represent a fair summary of the political and biographical ramifications of the [WIKI_LINK: 2012 Benghazi attack] as it pertains to the subject of this article. Moreover, in what arguably can be considered a violation of [WIKI_LINK: WP:BLP], it makes allegations about former Secretary Hillary Clinton (who is not the subject of this article) and does so with a dated source of dubious quality. A fuller justification can be found in an earlier section of this talkpage.
: '''Not done:''' That paragraph has been repeatedly inserted and removed over the past couple of days. I'm not adding or removing anything related to this without consensus. — Martin ( ·
::[REPLY_TO: MSGJ] - Can you make the small correction, as noted above? Right now there is a factual error, but simply removing the words ""Four Americans;"" from the beginning of the second sentence will resolve it for now. I wouldn't think that anyone would have a problem with this. Hopefully in the coming days we can get some more people involved, have a productive discussion and come to a consensus on how to proceed with this paragraph. -  ''''
::I wasn't going to ask for a removal or bug  about protecting the page(without a request), but this answer is both unacceptable and you should not be the one deciding. You protect the page with the contested paragraph still in the article. If editors challenge an addition to the article, it's incumbent upon the editors who want the information placed into the article to achieve consensus to add it into the article, not the editors who do not want the edit placed into the article. That's Wiki policy 101.
:::That's generally correct, but with all the to and fro I can't actually determine what the ""status quo"" is. The diff supplied by Scjessey is certainly not the first insertion of this paragraph. That said, if we can get a rough consensus for removal I will do so. — Martin ( ·
::::Still though, that is kind of backwards. The consensus should be achieved before it is added, not to remove contested material in a BLP. It was first added [EXTERNAL_LINK: here], the version before it was added is [EXTERNAL_LINK: here]. My problems with the edit are listed [EXTERNAL_LINK: here]. I do not think the article should include the edit until it is discussed and the problems are addressed, but I am will to say consensus is against me after a time, if that is the case. But it should not be edit warred into the article and have the page protected to make it impossible to remove. Thanks.
:::::It seems it was added earlier than this, sometime in February, so that is not the first time is was inserted. I can only point you towards [WIKI_LINK: meta:The Wrong Version|The Wrong Version]. Continue to discuss and if there is consensus to remove I'll do so forthwith. It's nothing so horrendous that it can't stay for a few hours. — Martin ( ·
::::::In the meantime, the small correction? -  ''''
:::::::I've no issue with the correction. I'm involved or I'd make the change myself.
::::::::This minor correction will do fine.
:It should be removed — if not immediately, then as soon as protection expires. This kind of editing in partisan political material is terribly inappropriate, both in substance and editing process. -
::How is it ""partisan""...? -  ''''
:::The accusations against the President and Secretary of State, members of one political party, were made more or less exclusively by operatives of the opposing party for political purposes. That's the definition of partisan, on one side or another of a political division. -
::::Wait, whom precisely are you accusing of being operatives of what, exactly?
:::::Whom = politicians and pundits accusing Obama and Clinton of misdeeds and failures relating to the Benghazi attacks; what = United States Republican Party. It's pretty basic. -
::::::
::::::Um, ok... well, here at Wikipedia we cite facts reported in [WIKI_LINK: WP:RS|reliable sources], such as media outlets, not ""operatives from opposing political parties"". These facts are not always flattering to the subject of the BLP article they're included in, but that is not a factor. As long as the info is relevant, neutral and sourced there is no reason to exclude it. -  ''''
:::::::Those are some of the threshold inclusion criteria, yes. The information here isn't relevant to the biography, it isn't factual, and it is not sourced. In fact, the source cited here says exactly what I pointed out, that it was the subject of partisan politics, not criticism. That sort of thing belongs in articles about party politics, and in fact it is in those articles,  -
::::::::Well, the relevance is debatable, but AFAIC, the significance of the event is what makes it relevant. The factuality is not in dispute. What is written in that passage are indeed facts. And of course it's sourced, see the attached ref. If you want to dispute that, then [WIKI_LINK: WP:RSN] is the place to go. What this boils down to is a case of [WIKI_LINK: WP:IDONTLIKEIT]. -  ''''
:::::::::You're not even making sense. You have not addressed any of the concerns Wikidemon has illustrated, and none of the concerns I've addressed above. All based on Wiki policy. You can continue to claim that it's only because we don't like it, but that is shown to be a straw man. And it is up to those in favor of inclusion to establish consensus to add the paragraph, which has not happened.
[OUTDENT: 0] - Um, do you mean the comment where I addressed it on a ''point. by. point. basis''? Relevance. Facts. Sources. What else is there? Everything's covered, it's just that [WIKI_LINK: WP:IDHT|YOUDIDNTHEARIT]. -  ''''
Right, what Wikidemon said. As should be obvious. And as I've outlined in a minor way above. Which discussion was ended by protecting the page with the edit included in the article. And the page was protected not for 24 hours, but for 48 hours.
:The text in question states a fact-that Obama and Clinton received substantial criticism regarding their handling of the events. Nowhere does it claim that these criticisms are justified or not. I do not believe that anyone supporting the inclusion of the paragraph has attempted to argue either way on the talk page. Rather, it is people who oppose the inclusion of these words that are employing their own political beliefs and trying to blame everything on the Republicans. Under the guise of following BLP rules, they are attempting to delete a totally factual, relevant, and well-sourced sentence. , you have said this:
:[OUTDENT: 0]
:As has been identified above, the information is entirely relevant to the biography. The fact that a foreign ambassador was killed in the line of duty, which had not happened previously since 1988, makes it so. Furthermore, is entirely factual once the minor numbering errors are removed. Clinton has been investigated for her conduct and many have claimed that she did not do enough to ensure the safety of the Americans in the country. The Fox News article clearly states that. How are these comments not criticism? Finally, I don't even know what to say about your ridiculous claim that the content is ""not sourced.""
:Only 6 Ambassadors have been [WIKI_LINK: Ambassadors_of_the_United_States#Ambassadors_killed_in_office|killed in office] in the history the US. -  ''''
::If you're referring to the  May 12, 2014 AP news piece, published by Fox, it does not use the word ""criticism"" once, much less say that Obama or Clinton received it. Quite the contrary, it describes the incident as a ""controversy"" and a ""political rallying cry"", saying that ""political reaction to the Benghazi attack quickly formed along partisan lines that hold fast to this day"" and that ""Clinton is the prime political target of the Benghazi probes"". Not sourced means failing [WIKI_LINK: WP:V], statements are made in the article text that are not traced to any source. Linking to a source that says something else does not source the content. -
== Fox News ==
",COMMENT_MODIFICATION,708144660.9145.9145,708189258.10076.10076,Thewolfchild,708203907,Talk:Barack Obama,2016-03-04 07:05:28.000000 UTC
699572091.0.2100,"== [WIKI_LINK: Barack Obama and the Enemies Within] ==
",COMMENT_REMOVAL,,698180463.1988.1988,75.109.165.13,699572091,Talk:Barack Obama,2016-01-13 03:37:10.000000 UTC
703368268.934.958,"On January 4, 2016, the White House announced that Obama would sign Executive Actions in order to reduce gun violence.
",COMMENT_REMOVAL,,698310276.2165.2143,Lowercase sigmabot III,703368268,Talk:Barack Obama,2016-02-05 02:35:15.000000 UTC
710458243.22916.22916,"I recently [EXTERNAL_LINK: added] """" to the hatnote. The change was [EXTERNAL_LINK: reverted]. The ""Mr. Obama"" redirect was recently [WIKI_LINK: Wikipedia:Redirects for discussion/Log/2016 March 3# Mr. Obama|discussed] at [WIKI_LINK: WP:RfD|RfD]. The result of the discussion was that it should remain targeted here per [WIKI_LINK: WP:PRIMARYTOPIC]. Per [WIKI_LINK: WP:PRIMARYREDIRECT], it is reasonable to add the term to the [WIKI_LINK: WP:HATNOTE|hatnote] because of its ambiguity. Most of the [EXTERNAL_LINK: other redirects to this article] are generally unambiguous, already covered well by the other two listed, or are typos. Compared to other discussions above about this article, this issue seems rather benign, uncomplicated, and clear per an [WIKI_LINK: Category:Wikipedia editing guidelines|editing guideline].—
",COMMENT_MODIFICATION,710457293.22905.22905,710458170.22916.22916,Godsy,710458243,Talk:Barack Obama,2016-03-17 02:09:22.000000 UTC
705044637.3799.3799,":That's your point of view. Others' point of view may be that all of the controversy has been manufactured by political opponents. If you know that you have a point of view that is generally opposing the view of the subject of the article, then please remember that [WIKI_LINK: WP:NPOV|Wikipedia is written from a neutral point of view] and that we must put aside our own points of view while writing it. Best,
",COMMENT_MODIFICATION,705043748.3627.3617,705044576.3799.3799,Prhartcom,705044637,Talk:Barack Obama,2016-02-15 04:53:41.000000 UTC
703154827.0.1824,"::::::I just don't think it is hugely important to shoehorn his lesser-known professions (lawyer, community organizer, author, scholar, professor) into the first sentence of the article. He is notable for being first and foremost a president, and secondly a politician. It is enough we cover his other professions in the next few sentences of that opening paragraph.
",COMMENT_REMOVAL,,699360617.3089.3089,72.243.248.66,703154827,Talk:Barack Obama,2016-02-03 20:58:09.000000 UTC
708364954.14312.14312,"===Arbitrary Break===
In response to concerns, I typed the words ""Benghazi criticism"" into Google Search. I reached ] article from ABC News as the 5th option. In addition to having the word ""Criticisms"" in the title, it also includes that word or some derivative of it 7 times in the body of the article. What more do you need?
:Nope. This does not stand for the proposition that Obama received substantial criticism, or Clinton either. It reports that in a ""leaked chapter"" of Clinton's now-released book, ''Hard Choices'', she refutes Republican critics vis-a-vis Benghazi. 'Criticism' and 'critic' are different words. Criticism, in the sense used, is an expression of disapproval of somebody or something based on a good faith perception of faults, motives, or mistakes. A critic of someone is not making judgments about whether to approve or disapprove, they are a detractor. This piece, and the great majority of others covering her book chapter, describe this as a reaction to Republican critics, not to widespread disapproval. -
Checking back here to see if any consensus has developed yet, but I can't see any. I've added a low profile maintenance template, to indicate there is some dispute over the inclusion. In the end, if there is no consensus for inclusion it should probably be removed I guess. — Martin ( ·
:We're going to remove content just because a couple of users [WIKI_LINK: WP:IDLI|don't like it]? While there is always room for improvement, I think this is backwards - without consensus to remove, it should stay. -  ''''
::Seriously - what's it going to take? Here's a short list mentioning response to Obama being criticized over Benghazi.
::* [EXTERNAL_LINK: LA Times - U.S. officials counter criticism in Benghazi attack]
::* [EXTERNAL_LINK: NPR - After Benghazi Hearings, Flurry Of Concern Unsettled]
::* [EXTERNAL_LINK: CNN - White House under assault over Obamacare, NSA, Benghazi]
::This is, of course leaving out the apparently unacceptable fox news articles, and any outlet that might have even a small non-left tilt. He has pretty clearly received substantial criticism regarding Benghazi.
:::No, no, and no. Quite likely nothing is going to help because what you are trying to source — that Obama was the subject of criticism over Benghazi, as opposed to partisan political detractors, does not appear to be what the neutral mainstream sources report. If we get past that, or found language describing it like the sources do as a partisan controversy rather than a criticism, we have a weight issue. Is it really biographically significant about the President that this one controversy, among twenty or thirty that his Republican detractors tried to hang on him, became a big deal for them in 2014-2015? Perhaps yes, perhaps no. We don't report all the controversies from earlier news cycles (Ayers, the birthers, etc.) but we do report at least one in passing, resigning from Jeremiah Wright's church, but that one, involving his religious affiliation, does seem more biographical and directly related to him. -
::::The simple fact is that there is already a section for Libya. It's entirely appropriate to include the Benghazi attack and the fact that an ambassador was killed. Can we agree on at least that much?
::::As for any criticism or fallout faced by Obama and his cabinet, I'm sure if we add some additional sources, we can agree what should (or shouldn't) be added and how it should be worded. -  ''''
:::The ""small non-left tilt"" jab is cute, but irrelevant. Those sources still state the attacks are from Republicans and there is no mainstream criticism of Obama for a terrorist attack on an Embassy based in Libya. As for edit warring the paragraph into the article and then claiming you need consensus to remove it, that's absurd, and shows that editors have no real understanding of Wiki policy.
::::So, just because it's from Republicans means the criticism is both invalid, and non-mainstream - if I'm interpreting your comment correctly? I've been around for about 10 years, I'm not a new editor.
:::::, you have claimed that these ""criticisms"" are not what ""neutral mainstream sources"" report upon. One of the articles cited came from CNN. CNN and Fox are both mainstream sources. Fox is often considered slightly right-leaning, while CNN is often considered slightly left-leaning, although they are both neutral enough to generally be considered mainstream. ""Criticism"" is a totally accurate word, and can be used to describe those who claim that Clinton and Obama did not adequately prepare for or deal with the crisis. , I believe that  is absolutely right. Articles report upon comments and criticism from all fronts. Regarding your edit warring comments, Wikipedia policy clearly states that it takes two to edit war. You cannot blame it all on a different group of editors simply because they disagree with you. With this statement, as well as various attempts to inject your own political philosophy into the article, I now question your understanding of Wikipedia policy. I would now like to pose a question to everyone. '''At what point in the article is it stated that Obama and Clinton are responsible for what happened in Benghazi?''' I believe that the answer is '''nowhere'''.
",COMMENT_MODIFICATION,,708354910.15435.15435,Display name 99,708364954,Talk:Barack Obama,2016-03-05 04:55:07.000000 UTC
708478012.18286.18286,":::: and , how do you explain the ""nutshell"" section of the [WIKI_LINK: WP:Content removal] article, which clearly states that ""When removing content from a page, it is important to be sure there is consensus to do so""? Wikidemon, please try to learn how Wikipedia works before you blithely make dumb reverts like that.
",COMMENT_ADDING,708477640.18191.18191,,Display name 99,708478012,Talk:Barack Obama,2016-03-05 21:07:35.000000 UTC
706652120.4423.4423,"== Semi-protected edit request on ",COMMENT_REMOVAL,,653108147.1170.193,2601:188:0:ABE6:65F5:930C:B0B2:CD63,706652120,Talk:Barack Obama,2016-02-24 14:47:24.000000 UTC
705995180.6271.6271,"::::::
::::::""Presidency of Barack Obama"" is already linked by way of hatnote at the top the section ""Presidency (2009 - )"", which is where it belongs. If you look at the various sections, many of them have such notes. We can't just lump them all at the top of the article as it would take up too much space and look silly. And, after all, this article is about Obama and his entire life, not just his time at the White House. That said, don't be afraid to edit here, people don't get ""banned"" just for making mistakes. Be [WIKI_LINK: WP:BOLD|bold] and give it a try. If you err, it can be fixed. People will give you guidance an as long as you abide the polices and guidelines, you'll be ok. -  ''''
",COMMENT_MODIFICATION,705994764.6190.6191,705995040.6271.6271,Thewolfchild,705995180,Talk:Barack Obama,2016-02-20 20:32:09.000000 UTC
